PARALLELISM DEGREE,COMPLETION TIME,OVERHEAD TIME
1,16.5314,0
2,8.49084,6.6375e-05
3,6.14992,0.000129571
4,4.62526,0.000116529
5,4.52364,0.000139773
6,3.32063,0.00017298
7,3.00019,0.000168935
8,3.45533,0.000420497
9,3.34018,0.000268204
10,3.09371,0.000196036
11,1.98685,0.00048342
12,2.62599,0.00124735
13,2.45475,0.0011688
14,1.99252,0.000359964
15,1.93409,0.00542996
16,1.99437,0.00381698
17,1.93106,0.000493356
18,1.92155,0.000920624
19,1.95574,0.0028904
20,1.9702,0.000596736
