PARALLELISM DEGREE,COMPLETION TIME,MEAN LATENCY,MEAN LOADING TIME,MEAN SAVING TIME,MEAN CREATION TIME,SPEEDUP,SCALABILITY,EFFICIENCY
1.0,3296995.0,217.0,72808.6,104872.0,8.0,2.287501497575823,1.0,2.287501497575823
2.0,3385164.0,236.5,74856.8,142740.0,6.0,2.22792189684163,0.9739542899546374,1.113960948420815
3.0,3443107.0,257.0,76270.0,185307.0,3.0,2.1904288771740177,0.9575639095735334,0.7301429590580059
4.0,3593564.0,246.0,79464.2,170495.0,3.25,2.098718987612298,0.9174721808210456,0.5246797469030745
5.0,3698696.0,258.4,81424.9,177805.0,3.0,2.0390648488007663,0.8913938858451735,0.40781296976015324
6.0,3764454.0,256.833,83267.9,172671.0,2.16667,2.003446183696228,0.875822894900562,0.33390769728270464
7.0,3927211.0,302.429,86539.9,175732.0,2.0,1.9204165500656827,0.83952581106541,0.27434522143795464
8.0,4715906.0,254.5,104235.0,176115.0,2.375,1.5992432843233093,0.6991222895452115,0.19990541054041366
9.0,4137097.0,2534.78,91187.1,188002.0,1.77778,1.8229886802267388,0.7969344204402266,0.20255429780297096
10.0,4200394.0,256.9,92841.2,188875.0,1.9,1.7955175157378094,0.7849251760668166,0.17955175157378095
