PARALLELISM DEGREE,COMPLETION TIME,MEAN LATENCY,MEAN LOADING TIME,MEAN SAVING TIME,MEAN CREATION TIME,SPEEDUP,SCALABILITY,EFFICIENCY
1.0,25464974.0,1763.12,173604.0,582679.0,15.0,0.4766772194623093,1.0,0.4766772194623093
2.0,12677113.0,1997.81,172685.0,491920.0,12.0,0.957518718970163,2.008736058438542,0.4787593594850815
3.0,9595761.0,1926.07,175650.0,612008.0,16.6667,1.2649932610868486,2.6537732650906998,0.42166442036228285
4.0,7937959.0,2794.72,172671.0,436873.0,6.75,1.5291806117920237,3.208000192492806,0.3822951529480059
5.0,7718553.0,2159.19,167882.0,297781.0,4.0,1.5726487853358007,3.2991901461323128,0.31452975706716013
6.0,7697367.0,2160.09,167697.0,291725.0,9.33333,1.5769772962624753,3.3082707372534013,0.2628295493770792
7.0,7686375.0,2263.74,167115.0,290047.0,3.0,1.579232473044836,3.313001772617131,0.22560463900640512
8.0,7723357.0,1780.86,167995.0,292839.0,3.875,1.5716705831415019,3.297138019128211,0.19645882289268773
9.0,7769773.0,2554.4,168547.0,292811.0,6.66667,1.5622815492807833,3.277441181357551,0.17358683880897594
10.0,7786066.0,2106.81,169213.0,294818.0,2.3,1.5590123433323066,3.270582859174325,0.15590123433323066
