PARALLELISM DEGREE,COMPLETION TIME,MEAN LATENCY,MEAN LOADING TIME,MEAN SAVING TIME,MEAN CREATION TIME,SPEEDUP,SCALABILITY,EFFICIENCY
0.0,7541881.0,235.932,71003.8,97502.7,0.0,0.0,0.0,0.0
1.0,5560676.0,261.091,120704.0,122443.0,34.0,1.3562885160005727,1.0,1.3562885160005727
2.0,4800224.0,251.523,103729.0,137765.0,25.5,1.5711518879118975,1.1584201070616704,0.7855759439559488
3.0,4788045.0,249.955,103406.0,137671.0,22.0,1.5751483120981529,1.1613666955928776,0.5250494373660509
4.0,4802235.0,254.75,103525.0,137597.0,17.0,1.5704939470892199,1.1579350031808107,0.39262348677230496
5.0,4781123.0,251.182,103058.0,136637.0,16.0,1.5774287756244716,1.1630480956043172,0.3154857551248943
6.0,4780721.0,256.295,103129.0,137143.0,17.3333,1.5775614180371538,1.1631458936842372,0.2629269030061923
7.0,5039762.0,253.068,108977.0,148992.0,16.2857,1.4964756272220792,1.103360833309192,0.213782232460297
8.0,4793969.0,253.545,103358.0,137718.0,19.375,1.573201870934084,1.1599315723568508,0.1966502338667605
9.0,4803975.0,256.341,103602.0,137922.0,16.8889,1.5699251140982207,1.157515599061194,0.1744361237886912
10.0,4795563.0,252.909,103416.0,137398.0,15.7,1.5726789534409202,1.159546022020772,0.15726789534409202
