PARALLELISM DEGREE,COMPLETION TIME,MEAN LATENCY,MEAN LOADING TIME,MEAN SAVING TIME,MEAN CREATION TIME,SPEEDUP,SCALABILITY,EFFICIENCY
0.0,12138573.0,834.698,99829.2,177458.0,0.0,0.0,0.0,0.0
1.0,8375987.0,1368.95,111298.0,188957.0,255.0,1.4492110601413302,1.0,1.4492110601413302
2.0,5260884.0,1117.42,115059.0,185933.0,180.5,2.307325727007096,1.5921253918542968,1.153662863503548
3.0,5232079.0,1004.16,114201.0,190484.0,309.333,2.3200286157758705,1.600890774011631,0.7733428719252902
4.0,5320614.0,1021.74,116584.0,188049.0,143.5,2.281423347004688,1.57425195663508,0.570355836751172
5.0,5152982.0,974.209,112587.0,187681.0,132.8,2.3556404815697007,1.6254640516889056,0.47112809631394015
6.0,5278465.0,991.721,115499.0,189238.0,134.5,2.2996407099412424,1.5868224947972565,0.3832734516568737
7.0,5198602.0,1013.47,113873.0,187018.0,123.714,2.334968708895199,1.6111998956642575,0.33356695841359985
8.0,5328504.0,985.977,116551.0,191966.0,122.0,2.2780452074353326,1.5719209369083704,0.28475565092941657
9.0,5277112.0,1002.37,115506.0,191443.0,122.667,2.3002303153694674,1.5872293405938702,0.25558114615216304
10.0,5302122.0,1043.79,115953.0,192680.0,140.1,2.289380176465196,1.5797424125661386,0.2289380176465196
